Name,Developer,Installs,Category,Size,Rating,Votes,5 Stars,1 Star
دبل اسپورت,مجتبی رجبی,+۱۰,ورزشی,۱۳ مگابایت,5.0,1,100,0
Bet Winner Game - Betting Tips,BWG Team,<۱۰,ورزشی,۹ مگابایت,0.0,0,0,0
Football Radio LIVE,Toniapps,<۱۰,ورزشی,۱۲ مگابایت,0.0,0,0,0
Tournament brackets,Сит,<۱۰,ورزشی,۱۴۷ کیلوبایت,0.0,0,0,0
BUCS Play,Playwaze,<۱۰,ورزشی,۳۹ مگابایت,0.0,0,0,0
ProfitTips - Football Advisor,P Tips,<۱۰,ورزشی,۲۳ مگابایت,0.0,0,0,0
پا به پا - تمرین ورزشی+رژیم غذایی,پابه‌پا,+۲۰ هزار,تناسب اندام,۱۷ مگابایت,4.0,146,62,14
Boxing Showtimes,"ITPROBE, LLC",<۱۰,ورزشی,۲۰ مگابایت,0.0,0,0,0
CatchCorner by SI,Team63 Solutions Inc.,<۱۰,ورزشی,۷۳ مگابایت,0.0,0,0,0
Home Workout - تمرین در خانه بدون تجهیزات,Leap Fitness Group,+۱ میلیون,تناسب اندام,۲۱ مگابایت,4.8,5365,88,3
پیلاتس (تصاویرمتحرک),گروه برنامه نویسی هایلی,+۲ هزار,ورزشی,۹۱۳ کیلوبایت,4.4,63,68,5
footbe - Betting Tips,Footbe,<۱۰,ورزشی,۱۳ مگابایت,0.0,0,0,0
Play All game,LightSail Apps,<۱۰,ورزشی,۵ مگابایت,0.0,0,0,0
Football on TV,MGez,<۱۰,ورزشی,۵ مگابایت,0.0,0,0,0
"Live Score, Tips, SokkerPRO",SokkerPRO,<۱۰,ورزشی,۱۷ مگابایت,0.0,0,0,0
Liverpool Football Unofficial,Loyal_Apps,<۱۰,ورزشی,۲۹ مگابایت,0.0,0,0,0
Betting Tips Correct Score Tip,Betting Tips Of Boss,<۱۰,ورزشی,۳۳ مگابایت,0.0,0,0,0
One Widget Countdown,www.f1widget.com,<۱۰,ورزشی,۶ مگابایت,0.0,0,0,0
Fast Score: Football Livescore,WD Soft,<۱۰,ورزشی,۱۹ مگابایت,0.0,0,0,0
LPGA Now,LPGA,<۱۰,ورزشی,۳۲ مگابایت,0.0,0,0,0
Seattle Sounders FC,Seattle Sounders FC,<۱۰,ورزشی,۵۰ مگابایت,0.0,0,0,0
Calisthenics Workout Planner |,mymh dev,<۱۰,ورزشی,۱۰ مگابایت,0.0,0,0,0
LiveLine360 - For Cricketience,CricOra,<۱۰,ورزشی,۲۳ مگابایت,0.0,0,0,0
Canterbury-Bankstown Bulldogs,NRL Digital,<۱۰,ورزشی,۳۳ مگابایت,0.0,0,0,0
CricketExchange.com,CricZoo,<۱۰,ورزشی,۱۳ مگابایت,0.0,0,0,0
HTFT Sure Fixed Matches,MillmaNetwork,<۱۰,ورزشی,۶ مگابایت,0.0,0,0,0
iCLOO Golf Edition,BrainKeys,<۱۰,ورزشی,۵۴ مگابایت,0.0,0,0,0
DLS kits- Dream League Kits 2021,KITKIT,+۲۰ هزار,ورزشی,۱۵ مگابایت,3.7,165,64,22
NBL,NBL (National Basketball League),<۱۰,ورزشی,۲۹ مگابایت,0.0,0,0,0
Go Outdoors Oklahoma,"Go Outdoors Oklahoma, LLC",<۱۰,ورزشی,۱۱۶ مگابایت,0.0,0,0,0
Hockey Canada Network,Hockey Canada,<۱۰,ورزشی,۴۹ مگابایت,0.0,0,0,0
Sierra Nevada,Estación Esquí Sierra Nevada,<۱۰,ورزشی,۳۹ مگابایت,0.0,0,0,0
